PointID,Original_ID,lon,lat,DW_raw,ESRI_raw,WC_ee_raw
1,9811,120.13059475,30.41095771,6,7,60
2,8848,120.17137769,30.17766646,6,7,50
3,8387,119.86379336,30.08082816,6,7,60
4,10287,118.74090253,29.44032734,0,1,80
5,489,119.10903254,29.68466825,1,7,50
6,11873,119.15861774,29.54462126,0,1,80
7,12575,119.10975045,29.59708258,0,1,80
8,2071,119.75788525,30.17559744,6,7,50
9,12610,119.11055755,29.5996867,0,1,80
10,5155,119.19230625,29.31501323,6,7,60
11,3619,120.10265849,30.30172311,6,7,50
12,6042,119.4428453,29.55459181,6,7,60
13,4967,120.24369093,30.51650909,6,7,50
14,8078,119.41580531,30.01165413,1,2,30
15,9118,119.95713126,30.2308457,6,7,10
16,1874,120.24971072,30.1550276,6,7,50
17,9877,120.29121157,30.43674023,6,7,60
18,2088,120.30882056,30.17613699,6,7,50
19,10510,119.23281718,29.47625878,0,1,80
20,2482,120.23516067,30.20470199,6,7,50
21,12510,118.91733133,29.58854786,0,1,80
22,12546,118.99161995,29.59348855,0,1,80
23,61,119.03698684,29.32175093,6,7,50
24,12221,118.98883747,29.56303735,1,1,10
25,13483,119.63741818,29.74269899,0,1,60
26,9607,120.1006831,30.34933293,6,7,60
27,8717,119.76309348,30.14927536,6,7,10
28,10220,118.73748686,29.42748067,0,1,10
29,9946,120.12493615,30.47608288,0,1,30
30,10523,118.68305016,29.47751625,0,1,80
31,12515,119.185029,29.5891766,0,1,80
32,14265,120.21171472,30.12107155,0,7,80
33,172,119.20641039,29.42775268,6,7,50
34,10605,119.21206899,29.48488268,0,1,80
35,8057,120.20533375,30.00680262,6,7,80
36,13727,119.5415698,29.90502364,0,1,80
37,11702,119.15224123,29.53806192,0,4,80
38,6443,119.33918012,29.65888572,6,7,30
39,13689,119.56878815,29.87996349,0,1,80
40,14525,119.68763657,30.23542519,0,7,80
41,8591,119.6497253,30.12313611,1,2,10
42,11962,118.96718853,29.54902239,0,1,80
43,9226,120.5575626,30.25797487,0,1,60
44,6825,119.10336948,29.74961505,0,1,10
45,10074,119.22590112,29.37969249,0,1,80
46,12573,119.12861245,29.59681504,0,4,80
47,9536,120.25330476,30.33172394,6,7,50
48,13800,119.43682552,29.93988044,0,1,80
49,8675,119.97338915,30.14181974,6,7,60
50,400,119.03438273,29.60489939,6,7,50
51,530,119.18556855,29.74368891,6,7,50
52,7518,118.99871884,29.89523592,1,2,10
53,467,119.21179698,29.65089056,6,7,50
54,12936,119.00150132,29.63696924,0,4,80
55,9694,119.76165765,30.37313561,1,2,10
56,3506,120.47842247,30.29165892,6,7,50
57,13199,118.78105674,29.67694508,0,1,80
58,13138,119.02351144,29.66517751,0,1,10
59,10173,118.67756992,29.42020342,0,1,80
60,12060,119.17972713,29.55423508,0,1,10
61,7713,120.1878184,29.94131627,6,7,10
62,13801,119.46449424,29.94059835,0,1,80
63,9484,119.6338286,30.31780263,6,7,10
64,1658,120.25025027,30.120532,6,7,50
65,14630,119.99971122,30.25554912,0,1,80
66,11620,119.58226356,29.53554699,0,1,80
67,12864,119.00518453,29.62771661,0,1,80
68,6591,119.84519891,29.69805447,1,2,10
69,8581,119.42056763,30.12098237,1,2,40
70,404,119.02962041,29.60624604,6,7,50
71,9702,120.16805566,30.37520463,6,7,10
72,10599,118.88013796,29.48470432,0,1,80
73,12086,119.06384401,29.55522054,0,1,10
74,7416,119.5224358,29.87412207,1,7,30
75,2003,120.13158467,30.16877055,6,7,50
76,8967,119.5836102,30.19895421,6,7,40
77,11801,118.8761872,29.54102722,0,4,80
78,6244,118.94005936,29.60804305,1,4,10
79,10418,118.78851235,29.46835279,0,1,80
80,13515,119.64631408,29.76003597,0,7,80
81,6929,119.70784968,29.77656586,6,7,50
82,3348,119.88796169,30.27926262,6,7,50
83,2972,120.19284826,30.24629648,6,7,50
84,8228,119.34466036,30.04049113,6,7,10
85,11079,119.04138798,29.51030402,0,1,80
86,14733,120.16913476,30.30809962,6,7,80
87,13644,118.84052331,29.84969066,0,1,80
88,5759,118.88247453,29.48596178,0,1,10
89,719,119.55082243,29.85328469,1,2,50
90,6836,119.0879187,29.75285236,1,1,10
91,6251,119.13274604,29.60984007,6,7,10
92,9910,120.08963345,30.45254774,6,7,40
93,2532,120.51740839,30.20838521,6,7,50
94,9633,119.87502584,30.35633818,0,1,40
95,601,119.67002758,29.79049163,6,7,10
96,10379,118.761022,29.46494158,0,1,80
97,2657,119.70434482,30.22024641,6,7,10
98,2795,120.52477483,30.23264271,6,7,50
99,4,119.07372538,29.2498836,6,7,50
100,622,119.7258154,29.80171965,6,7,50
101,10026,119.35418054,29.30405276,0,1,80
102,8262,119.15439497,30.04830794,6,7,10
103,2333,119.67981977,30.1930236,1,7,50
104,7863,120.00573101,29.97051446,6,7,10
105,442,119.53509964,29.62942444,6,7,50
106,13655,119.59699643,29.86585936,0,1,80
107,7510,119.60696698,29.89352808,1,7,30
108,12634,119.11989937,29.60238445,0,1,80
109,9189,119.86783776,30.2480935,6,7,10
110,10077,119.51713393,29.3812175,0,1,80
111,8092,119.74512776,30.01479779,6,5,30
112,3669,120.33145942,30.30594588,6,7,50
113,9062,119.62259613,30.22042478,0,1,30
114,9791,119.82301042,30.40385882,6,7,40
115,9787,120.09618833,30.40233381,6,7,40
116,9796,120.17937286,30.40610621,6,7,10
117,10416,118.68915912,29.46835279,0,4,80
118,6000,119.19158388,29.54462126,0,1,10
119,498,119.12529042,29.70011903,1,2,50
120,14714,120.16823403,30.28662905,0,7,80
121,9058,120.28537461,30.21925649,6,7,60
122,9613,119.30261995,30.35031839,6,7,30
123,9405,120.16437244,30.30073319,6,7,60
124,5841,118.76165073,29.50518497,0,4,10
125,4961,120.29920674,30.51390497,6,7,10
126,10559,118.83055276,29.48093192,0,4,80
127,4069,120.29947875,30.34654599,0,1,50
128,7896,119.70955305,29.97797008,6,7,10
129,8998,120.2298588,30.20452362,6,7,10
130,9650,119.91410094,30.36065013,0,1,40
131,9378,120.46171422,30.29381712,6,7,30
132,14544,120.2268935,30.23973714,0,7,80
133,7934,119.88149153,29.98452496,4,5,40
134,13813,119.86433291,29.95236592,0,1,80
135,9361,119.73138481,30.2890548,6,7,10
136,9329,119.74216246,30.28088127,6,7,10
137,6800,119.6796414,29.744496,1,7,10
138,8368,119.43655797,30.07579384,1,2,10
139,10151,118.63732653,29.41643102,0,1,80
140,12986,118.92442575,29.64244948,0,1,80
141,4525,119.84726793,30.41005697,6,7,50
142,10357,118.69823339,29.46215464,0,4,10
143,13403,119.65448762,29.72185715,0,1,80
144,7400,119.81384697,29.87196833,6,7,60
145,8627,119.82435707,30.13113128,1,2,10
146,583,119.20425218,29.78267483,4,7,50
147,1978,119.21071788,30.16706272,6,7,50
148,14549,119.71206799,30.24081625,0,1,10
149,224,118.93978736,29.46395166,6,7,50
150,7736,119.3047737,29.94607859,6,7,10
