Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
4,119.07372537642044,29.249883597375153,1,0.3466666666666667,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
57,119.16364760826426,29.318696444831932,1,0.3,2.0,high,1,1,Hangzhou,1,2,50,1.0,2,2,1
85,119.177390557711,29.353009227438196,1,0.3066666666666666,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
175,119.1350826069159,29.4286489586078,1,0.34,1.0,low,1,1,Hangzhou,1,2,50,1.0,2,2,1
220,119.0721111818391,29.46161509269593,1,0.3266666666666666,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
355,119.2282376870234,29.560522413162406,1,0.2266666666666666,2.0,high,1,1,Hangzhou,1,7,50,1.0,2,1,1
438,119.51677719798978,29.62430093552985,1,0.2466666666666666,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
460,119.52540109942714,29.64145955638351,1,0.3133333333333333,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
498,119.12529042100252,29.700119030741583,1,0.36,2.0,high,1,1,Hangzhou,1,2,50,1.0,2,2,1
719,119.55082243453283,29.8532846928264,1,0.2466666666666666,2.0,high,1,1,Hangzhou,1,2,50,1.0,2,2,1
726,119.88041242979727,29.856874269174423,1,0.3,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
825,119.69015150604882,29.901523248022578,1,0.32,3.0,med,1,1,Hangzhou,1,2,50,1.0,2,2,1
861,119.7198847918732,29.9180531356277,1,0.3066666666666666,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2166,120.35966323371846,30.18161722159372,1,0.3033333333333333,3.0,high,1,1,Hangzhou,0,7,50,1.0,3,1,1
2531,119.59681806189914,30.208296023196493,1,0.31,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
2991,120.24324502341511,30.247643130892104,1,0.2866666666666667,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
3623,120.33855384933145,30.301901472510423,1,0.2866666666666666,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
4262,120.19545237832423,30.374843447542695,1,0.28,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
4475,119.83837202506535,30.40404164124066,1,0.2733333333333334,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
5155,119.19230625073476,29.31501322736178,2,0.3999999999999999,2.0,high,2,2,Hangzhou,6,7,60,2.0,1,1,2
5568,118.84124122479696,29.442213544012375,2,0.2533333333333333,3.0,high,2,2,Hangzhou,0,1,60,2.0,3,3,2
5713,118.3914561606369,29.474283398788767,2,0.3133333333333333,3.0,high,2,2,Hangzhou,5,11,60,2.0,2,2,2
5786,119.61110056257333,29.490991650436023,2,0.3099999999999999,3.0,high,2,2,Hangzhou,6,2,10,2.0,1,2,2
6000,119.19158387636408,29.544621258805822,2,0.3233333333333333,2.0,med,2,2,Hangzhou,0,1,10,2.0,3,3,2
6002,119.36496264352417,29.545160810033288,2,0.2866666666666666,2.0,high,2,2,Hangzhou,6,7,60,2.0,1,1,2
6042,119.44284530252364,29.554591808761327,2,0.3333333333333333,1.0,high,2,2,Hangzhou,6,7,60,2.0,1,1,2
6251,119.1327460379639,29.60984007081352,2,0.2966666666666667,3.0,high,2,2,Hangzhou,6,7,10,2.0,1,1,2
6442,119.58504603511804,29.658528995216095,2,0.1399999999999999,1.0,med,2,2,Hangzhou,1,7,10,2.0,2,1,2
6443,119.33918012123314,29.658885723300372,2,0.3233333333333333,1.0,med,2,2,Hangzhou,6,7,30,2.0,1,1,2
6444,119.1606823060637,29.659246910485702,2,0.2666666666666666,1.0,low,2,2,Hangzhou,6,7,10,2.0,1,1,2
6591,119.84519890877816,29.69805446695385,2,0.2633333333333333,1.0,high,2,2,Hangzhou,1,2,10,2.0,2,2,2
6645,118.77880935094768,29.71053994990349,2,0.3299999999999999,3.0,high,2,2,Hangzhou,0,1,10,2.0,3,3,2
6693,119.13373595839772,29.720421317837925,2,0.3066666666666666,2.0,high,2,2,Hangzhou,0,4,60,2.0,3,3,2
6854,119.08190336775246,29.757703861745792,2,0.3066666666666667,3.0,med,2,2,Hangzhou,0,1,60,2.0,3,3,2
6929,119.70784967812992,29.776565859201863,2,0.1966666666666666,2.0,high,2,2,Hangzhou,6,7,50,2.0,1,1,1
6978,118.84088449671266,29.78671923230056,2,0.3,3.0,high,2,2,Hangzhou,6,7,10,2.0,1,1,2
7007,119.8945165664293,29.792199467495244,2,0.3166666666666666,1.0,med,2,2,Hangzhou,0,2,10,2.0,3,2,2
7025,119.6327494981878,29.79740769752566,2,0.2966666666666666,2.0,high,2,2,Hangzhou,1,1,50,2.0,2,3,1
7027,119.08405711356129,29.798214794816342,2,0.1866666666666667,3.0,high,2,2,Hangzhou,0,1,40,2.0,3,3,2
7075,118.8508550466682,29.80926444722678,2,0.29,1.0,high,2,2,Hangzhou,0,7,60,2.0,3,1,2
7148,119.75464794368584,29.823101037795624,2,0.2533333333333333,2.0,med,2,2,Hangzhou,6,7,40,2.0,1,1,2
7379,119.8995464324176,29.869542575267264,2,0.2833333333333334,3.0,high,2,2,Hangzhou,0,1,60,2.0,3,3,2
7400,119.8138469692714,29.871968326240335,2,0.3266666666666666,1.0,high,2,2,Hangzhou,6,7,60,2.0,1,1,2
7443,120.09349503273724,29.8798743124081,2,0.3333333333333333,2.0,low,2,2,Hangzhou,6,7,10,2.0,1,1,2
7561,120.09044054851556,29.906281108846603,2,0.3,2.0,high,2,2,Hangzhou,6,7,10,2.0,1,1,2
7713,120.18781839732075,29.94131626582353,2,0.32,1.0,med,2,2,Hangzhou,6,7,10,2.0,1,1,2
7863,120.0057310058033,29.970514459521485,2,0.2533333333333333,1.0,high,2,2,Hangzhou,6,7,10,2.0,1,1,2
7896,119.70955305473238,29.97797007648285,2,0.3133333333333333,2.0,low,2,2,Hangzhou,6,7,10,2.0,1,1,2
8033,120.28905782763816,30.002762678340016,2,0.26,2.0,low,2,2,Hangzhou,6,7,60,2.0,1,1,2
8042,120.22374983360945,30.004470514043483,2,0.3233333333333333,2.0,high,2,2,Hangzhou,4,5,40,2.0,2,2,2
8055,119.98192386527892,30.006173890645897,2,0.2533333333333333,1.0,high,2,2,Hangzhou,6,7,60,2.0,1,1,2
8057,120.20533374625867,30.006802623894437,2,0.2366666666666667,3.0,high,2,2,Hangzhou,6,7,80,2.0,1,1,3
8177,120.26228984401436,30.02917393387957,2,0.33,2.0,high,2,2,Hangzhou,1,7,30,2.0,2,1,2
8198,120.24872525860978,30.033753430661463,2,0.32,2.0,high,2,2,Hangzhou,4,5,40,2.0,2,2,2
8220,120.24836407142446,30.038154563401218,2,0.2933333333333333,2.0,low,2,2,Hangzhou,6,7,60,2.0,1,1,2
8255,120.29471642687504,30.046778464838575,2,0.2266666666666666,2.0,high,2,2,Hangzhou,1,2,10,2.0,2,2,2
8340,119.78878682135104,30.06914977482372,2,0.3066666666666666,2.0,low,2,2,Hangzhou,6,7,10,2.0,1,1,2
8346,119.96898801312292,30.069595684929062,2,0.2199999999999999,2.0,med,2,2,Hangzhou,6,7,10,2.0,1,1,2
8368,119.4365579700383,30.07579383539335,2,0.3066666666666666,2.0,high,2,2,Hangzhou,1,2,10,2.0,2,2,2
8370,120.0693311641286,30.076516209764,2,0.1666666666666666,2.0,high,2,2,Hangzhou,2,7,60,2.0,2,1,2
8387,119.86379336017104,30.08082816048269,2,0.34,2.0,low,2,2,Hangzhou,6,7,60,2.0,1,1,2
8466,120.0486676898469,30.09627894563288,2,0.2533333333333333,2.0,high,2,2,Hangzhou,2,7,50,2.0,2,1,1
8560,120.05136544598425,30.118556614495898,2,0.2933333333333333,2.0,med,2,2,Hangzhou,6,7,10,2.0,1,1,2
8583,120.22662595378888,30.12133909355324,2,0.3033333333333333,2.0,high,2,2,Hangzhou,6,5,40,2.0,1,2,2
8584,120.27630033952428,30.121428275574313,2,0.24,2.0,high,2,2,Hangzhou,1,7,10,2.0,2,1,2
8604,119.93835398888574,30.126640964705796,2,0.3266666666666666,2.0,med,2,2,Hangzhou,6,7,60,2.0,1,1,2
8622,120.09493086327645,30.129695448927396,2,0.33,2.0,low,2,2,Hangzhou,6,7,40,2.0,1,1,2
