Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
4,119.07372538,29.2498836,1,0.3466666666666667,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
61,119.03698684,29.32175093,1,0.5366666666666667,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
172,119.20641039,29.42775268,1,0.65,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
224,118.93978736,29.46395166,1,0.6933333333333334,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
400,119.03438273,29.60489939,1,0.4866666666666666,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
404,119.02962041,29.60624604,1,0.5266666666666666,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
442,119.53509964,29.62942444,1,0.5,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
467,119.21179698,29.65089056,1,0.6166666666666667,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
489,119.10903254,29.68466825,1,0.4399999999999999,2.0,high,1,1,Hangzhou,1,7,50,1.0,2,1,1
498,119.12529042,29.70011903,1,0.36,2.0,high,1,1,Hangzhou,1,2,50,1.0,2,2,1
530,119.18556855,29.74368891,1,0.6799999999999999,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
583,119.20425218,29.78267483,1,0.4066666666666667,2.0,high,1,1,Hangzhou,4,7,50,1.0,2,1,1
601,119.67002758,29.79049163,1,0.5266666666666666,1.0,high,1,1,Hangzhou,6,7,10,1.0,1,1,2
622,119.7258154,29.80171965,1,0.6799999999999999,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
719,119.55082243,29.85328469,1,0.2466666666666666,2.0,high,1,1,Hangzhou,1,2,50,1.0,2,2,1
1658,120.25025027,30.120532,1,0.6733333333333333,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
1874,120.24971072,30.1550276,1,0.6900000000000001,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
1978,119.21071788,30.16706272,1,0.6333333333333333,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2003,120.13158467,30.16877055,1,0.4933333333333333,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2071,119.75788525,30.17559744,1,0.6200000000000001,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2088,120.30882056,30.17613699,1,0.6599999999999999,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
2333,119.67981977,30.1930236,1,0.4566666666666666,2.0,high,1,1,Hangzhou,1,7,50,1.0,2,1,1
2482,120.23516067,30.20470199,1,0.5666666666666667,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2532,120.51740839,30.20838521,1,0.6133333333333334,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
2657,119.70434482,30.22024641,1,0.6766666666666666,1.0,med,1,1,Hangzhou,6,7,10,1.0,1,1,2
2795,120.52477483,30.23264271,1,0.5633333333333334,1.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
2972,120.19284826,30.24629648,1,0.6933333333333334,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
3348,119.88796169,30.27926262,1,0.4466666666666667,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
3506,120.47842247,30.29165892,1,0.6666666666666667,2.0,med,1,1,Hangzhou,6,7,50,1.0,1,1,1
3619,120.10265849,30.30172311,1,0.6866666666666666,1.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
3669,120.33145942,30.30594588,1,0.6333333333333333,2.0,high,1,1,Hangzhou,6,7,50,1.0,1,1,1
4069,120.29947875,30.34654599,1,0.5266666666666667,2.0,med,1,1,Hangzhou,0,1,50,1.0,3,3,1
