Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
6209,117.30133606386404,32.325291594106304,2,0.5566666666666666,2.0,med,2,2,Hefei,6,7,10,2.0,1,1,2
6315,116.830529023457,31.938836358878085,2,0.34,2.0,med,2,2,Hefei,6,7,10,2.0,1,1,2
899,116.8177729464225,31.75396307340629,1,0.36,2.0,high,1,1,Hefei,6,7,50,1.0,1,1,1
9364,117.23989129843024,32.165121978947795,2,0.2733333333333334,1.0,high,2,2,Hefei,6,7,60,2.0,1,1,2
6192,117.60388865155548,32.02148136501708,2,0.4266666666666667,2.0,high,2,2,Hefei,6,7,40,2.0,1,1,2
6699,117.42943582337946,31.81522817578324,2,0.3366666666666666,1.0,high,2,2,Hefei,6,7,60,2.0,1,1,2
5203,117.23737601563472,31.71030495059808,2,0.4033333333333332,2.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
6556,116.98665621983696,31.727283109467937,2,0.3133333333333333,1.0,high,2,2,Hefei,6,7,40,2.0,1,1,2
8014,117.25704912035694,32.335352725288445,2,0.4333333333333333,2.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
7227,117.4507258956131,32.155599836936126,2,0.2866666666666666,2.0,med,2,2,Hefei,6,7,10,2.0,1,1,2
9047,117.15733612381966,31.764473362230486,2,0.3533333333333333,1.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
12037,117.45566662967576,31.81936042609019,3,0.3966666666666666,3.0,high,3,3,Hefei,0,1,80,3.0,3,3,3
6943,116.99860381311576,32.52363960883989,2,0.2733333333333334,1.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
9516,117.4371613348229,32.10709081159367,2,0.3266666666666666,2.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
6115,117.17054135849622,31.671138404210467,2,0.5866666666666667,2.0,high,2,2,Hefei,6,7,10,2.0,1,1,2
7266,117.00758696595696,31.83993184609653,2,0.3866666666666667,2.0,high,2,2,Hefei,6,7,60,2.0,1,1,2
92,117.2892088075284,31.728989908507764,1,0.5333333333333333,2.0,med,1,1,Hefei,0,7,50,1.0,3,1,1
8713,116.99159695389962,31.821606214300488,2,0.26,1.0,high,2,2,Hefei,6,5,60,2.0,1,2,2
2551,117.75489545081597,32.20339021005128,1,0.48,1.0,med,1,1,Hefei,6,7,50,1.0,1,1,1
9196,117.77250243038472,32.19431722568168,2,0.4033333333333332,3.0,high,2,2,Hefei,0,1,30,2.0,3,3,2
2418,117.02995501653152,32.49381554140712,1,0.45,3.0,med,1,1,Hefei,6,7,50,1.0,1,1,1
5348,117.20288070872452,32.50800892289622,2,0.34,2.0,med,2,2,Hefei,0,1,30,2.0,3,3,2
4182,116.96716277817156,31.57726445701998,1,0.4733333333333334,2.0,high,1,1,Hefei,6,7,50,1.0,1,1,1
5698,117.4830652458414,31.90029863318936,2,0.3799999999999999,2.0,med,2,2,Hefei,6,7,60,2.0,1,1,2
4251,117.3139124778417,31.927787080883416,1,0.5800000000000001,2.0,high,1,1,Hefei,6,7,50,1.0,1,1,1
8877,116.809598277337,31.89338160550164,2,0.36,1.0,med,2,2,Hefei,6,7,10,2.0,1,1,2
9506,117.52348943362678,31.94970597381593,2,0.32,2.0,high,2,2,Hefei,8,7,30,2.0,2,1,2
5836,117.4529716838234,31.77893623830481,2,0.5066666666666666,1.0,high,2,2,Hefei,6,7,30,2.0,1,1,2
3100,117.40086939734448,31.80408906626016,1,0.5766666666666667,2.0,med,1,1,Hefei,0,1,50,1.0,3,3,1
5675,117.45180387395403,31.80004664748162,2,0.3866666666666667,2.0,med,2,2,Hefei,6,5,60,2.0,1,2,2
7725,117.2117740300373,31.791153326168835,2,0.32,2.0,med,2,2,Hefei,6,7,10,2.0,1,1,2
5186,117.70962036049634,32.21147504760836,2,0.5466666666666666,2.0,med,2,2,Hefei,0,5,30,2.0,3,2,2
1341,117.03112282640087,31.623797188737367,1,0.32,2.0,high,1,1,Hefei,6,7,50,1.0,1,1,1
13148,117.40994238171407,31.79591439717467,3,0.5166666666666666,3.0,high,3,3,Hefei,0,1,80,3.0,3,3,3
3493,117.38631668974172,31.935332929270015,1,0.3733333333333333,1.0,med,1,1,Hefei,6,7,50,1.0,1,1,1
8820,117.13308161114844,32.16602029423191,2,0.3833333333333333,2.0,med,2,2,Hefei,0,1,60,2.0,3,3,2
7009,117.39350321201468,31.904251220439484,2,0.4733333333333334,2.0,high,2,2,Hefei,1,7,30,2.0,2,1,2
8282,116.99195628001326,32.568465541517455,2,0.5766666666666667,2.0,med,2,2,Hefei,6,7,60,2.0,1,1,2
160,117.2252487592991,31.712999896450437,1,0.3866666666666667,1.0,med,1,1,Hefei,6,7,50,1.0,1,1,1
