Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
5321,116.09597661563244,28.367763609917752,2,0.4866666666666667,1.0,high,2,2,Nanchang,6,7,10,2.0,1,1,2
7389,115.81543275240192,28.751164573179963,2,0.4533333333333333,1.0,high,2,2,Nanchang,6,7,60,2.0,1,1,2
3495,116.49779304221912,28.309373116449983,1,0.41,1.0,med,1,1,Nanchang,6,7,50,1.0,1,1,1
7813,115.90247950343311,28.798056631011,2,0.35,1.0,high,2,2,Nanchang,6,7,60,2.0,1,1,2
8776,116.19353365548784,28.266613308925898,2,0.5133333333333333,2.0,med,2,2,Nanchang,6,7,30,2.0,1,1,2
8547,115.88388437705184,28.4973905054162,2,0.4066666666666667,1.0,high,2,2,Nanchang,6,7,60,2.0,1,1,2
3625,115.48790699981194,28.75053575248108,1,0.3266666666666666,2.0,high,1,1,Nanchang,6,7,50,1.0,1,1,1
9818,115.79459183781036,28.844679194256805,2,0.3266666666666666,2.0,med,2,2,Nanchang,6,7,30,2.0,1,1,2
8320,116.0662423797281,28.588030517583856,2,0.33,3.0,med,2,2,Nanchang,0,1,10,2.0,3,3,2
6723,116.1399940645543,28.297515354699605,2,0.3366666666666666,1.0,high,2,2,Nanchang,6,7,60,2.0,1,1,2
14189,116.100019034411,28.52775356201944,3,0.29,3.0,med,3,3,Nanchang,7,1,80,3.0,2,3,3
6414,116.12741765057665,28.251611443681096,2,0.3266666666666666,2.0,med,2,2,Nanchang,6,7,60,2.0,1,1,2
7466,115.85181452140876,28.637617521267256,2,0.4733333333333333,3.0,med,2,2,Nanchang,6,7,30,2.0,1,1,2
6441,116.48449797601414,28.465051155187897,2,0.4833333333333333,2.0,med,2,2,Nanchang,1,2,10,2.0,2,2,2
2535,116.32917926338988,28.267062466567953,1,0.2466666666666666,2.0,high,1,1,Nanchang,6,7,50,1.0,1,1,1
5164,115.7993529088162,28.500983766552675,2,0.4666666666666667,2.0,med,2,2,Nanchang,6,7,60,2.0,1,1,2
12250,116.1234650633265,28.78314459729462,3,0.4,2.0,med,3,3,Nanchang,7,1,80,3.0,2,3,3
7016,115.7680017054004,28.67822137210946,2,0.34,1.0,high,2,2,Nanchang,6,7,60,2.0,1,1,2
