Scene_group,n,n_disagree,disagree_pct,CI95
Urban green space,52,35,67.3,"[54,78]"
Other / misc,6,4,66.7,"[30,90]"
Built-up edge / urban fabric,174,115,66.1,"[59,73]"
Road / road edge,117,73,62.4,"[53,71]"
Vegetation / forest edge,130,68,52.3,"[44,61]"
Water / water edge,211,106,50.2,"[44,57]"
Bare land / construction,88,38,43.2,"[33,54]"
Rural settlement / surfaces,41,17,41.5,"[28,57]"
Paddy / cropland / field,19,7,36.8,"[19,59]"
Cropland / paddy transition,16,5,31.2,"[14,56]"
Mixed / complex,25,7,28.0,"[14,48]"
Greenhouse / polytunnel,9,1,11.1,"[2,44]"
Soft boundary / shadow,3,0,0.0,"[0,56]"
