held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Wuhan,0,B0_baseline,10313,0,0.91359929468812,0.8666747528728209,263,0.4533333333333333,64
Wuhan,0,B1_local_oracle,10313,15,0.9127176548379987,0.8654235093066396,271,0.4666666666666667,62
Wuhan,0,B2_loco_gated,10313,19,0.912938064800529,0.865745891409929,269,0.4666666666666667,62
Wuhan,0,B3_loco_ungated,10313,52,0.9118360149878775,0.8641044601488277,272,0.4866666666666667,61
Wuhan,0,B4_random_flip,10313,19,0.9140401146131805,0.8673459641664747,263,0.47333333333333333,63
Wuhan,1,B0_baseline,10140,0,0.9229299363057325,0.880300782326413,222,0.4266666666666667,69
Wuhan,1,B1_local_oracle,10140,28,0.9222929936305733,0.8793143715492588,231,0.44,67
Wuhan,1,B2_loco_gated,10140,14,0.9237791932059448,0.8816180414919701,222,0.4266666666666667,68
Wuhan,1,B3_loco_ungated,10140,58,0.9212314225053079,0.8776750124956423,233,0.46,64
Wuhan,1,B4_random_flip,10140,14,0.9225053078556263,0.8796264165243175,224,0.44,67
Wuhan,2,B0_baseline,10213,0,0.9191287470347207,0.8777148860022496,267,0.4266666666666667,68
Wuhan,2,B1_local_oracle,10213,22,0.9184817770109985,0.876700273754591,274,0.48,60
Wuhan,2,B2_loco_gated,10213,14,0.9189130903601467,0.8773773146850609,271,0.4533333333333333,64
Wuhan,2,B3_loco_ungated,10213,46,0.9186974336855726,0.876985922210642,272,0.47333333333333333,61
Wuhan,2,B4_random_flip,10213,14,0.9184817770109985,0.8767300514252463,268,0.43333333333333335,67
Wuhan,3,B0_baseline,10318,0,0.9218887908208296,0.8818415950833763,251,0.43333333333333335,67
Wuhan,3,B1_local_oracle,10318,27,0.9203442188879082,0.8795353924959709,255,0.46,63
Wuhan,3,B2_loco_gated,10318,16,0.9201235657546337,0.8792026650187136,255,0.4533333333333333,65
Wuhan,3,B3_loco_ungated,10318,53,0.9190203000882613,0.8775785062632262,258,0.44666666666666666,65
Wuhan,3,B4_random_flip,10318,16,0.9214474845542807,0.8812001859689463,250,0.43333333333333335,68
Wuhan,4,B0_baseline,10219,0,0.9144893111638955,0.8704445535841953,265,0.4533333333333333,65
Wuhan,4,B1_local_oracle,10219,19,0.9153530554955733,0.8718242767030756,261,0.4666666666666667,63
Wuhan,4,B2_loco_gated,10219,18,0.9162167998272511,0.87309489935328,256,0.4666666666666667,63
Wuhan,4,B3_loco_ungated,10219,55,0.9155689915784928,0.8721714005833723,262,0.4866666666666667,61
Wuhan,4,B4_random_flip,10219,18,0.9160008637443317,0.872740141251415,256,0.4533333333333333,66
Hefei,0,B0_baseline,10343,0,0.931218105169736,0.8959996212673282,241,0.3933333333333333,81
